route_id,route_short_name,route_long_name,route_type
Trunk_Buiucani_to_CBD,Trunk,Trunk Buiucani to CBD,3
Trunk_Râșcani_to_CBD,Trunk,Trunk Râșcani to CBD,3
Trunk_Ciocana_to_CBD,Trunk,Trunk Ciocana to CBD,3
Trunk_Botanica_to_CBD,Trunk,Trunk Botanica to CBD,3
Trunk_Telecentru_to_CBD,Trunk,Trunk Telecentru to CBD,3
Trunk_Ciocana_via_Boulevard,Trunk,Trunk Ciocana via Boulevard,3
Trunk_Botanica_to_Râșcani,Trunk,Trunk Botanica to Râșcani,3
Trunk_Buiucani_to_Ciocana,Trunk,Trunk Buiucani to Ciocana,3
Trunk_Botanica_to_Buiucani,Trunk,Trunk Botanica to Buiucani,3
Trunk_Râșcani_to_Ciocana,Trunk,Trunk Râșcani to Ciocana,3
Conn_Botanica10_to_CBD,Conn,Conn Botanica10 to CBD,3
Conn_Buiucani11_to_CBD,Conn,Conn Buiucani11 to CBD,3
Conn_Unknown12_to_CBD,Conn,Conn Unknown12 to CBD,3
Conn_Telecentru13_to_CBD,Conn,Conn Telecentru13 to CBD,3
Conn_Buiucani14_to_CBD,Conn,Conn Buiucani14 to CBD,3
Conn_Unknown15_to_CBD,Conn,Conn Unknown15 to CBD,3
Conn_Unknown16_to_CBD,Conn,Conn Unknown16 to CBD,3
Conn_Unknown17_to_CBD,Conn,Conn Unknown17 to CBD,3
Conn_Ciocana18_to_CBD,Conn,Conn Ciocana18 to CBD,3
Conn_Ciocana19_to_CBD,Conn,Conn Ciocana19 to CBD,3
Conn_Râșcani20_to_CBD,Conn,Conn Râșcani20 to CBD,3
Conn_Unknown21_to_CBD,Conn,Conn Unknown21 to CBD,3
Conn_Botanica22_to_CBD,Conn,Conn Botanica22 to CBD,3
Conn_Unknown23_to_CBD,Conn,Conn Unknown23 to CBD,3
Conn_Unknown24_to_CBD,Conn,Conn Unknown24 to CBD,3
