route_id,service_id,trip_id,trip_headsign
Trunk_Buiucani_to_CBD,WD,T00001,end
Trunk_Buiucani_to_CBD,WD,T00002,end
Trunk_Buiucani_to_CBD,WD,T00003,end
Trunk_Buiucani_to_CBD,WD,T00004,end
Trunk_Buiucani_to_CBD,WD,T00005,end
Trunk_Buiucani_to_CBD,WD,T00006,end
Trunk_Buiucani_to_CBD,WD,T00007,end
Trunk_Buiucani_to_CBD,WD,T00008,end
Trunk_Buiucani_to_CBD,WD,T00009,end
Trunk_Buiucani_to_CBD,WD,T00010,end
Trunk_Buiucani_to_CBD,WD,T00011,end
Trunk_Buiucani_to_CBD,WD,T00012,end
Trunk_Buiucani_to_CBD,WD,T00013,end
Trunk_Buiucani_to_CBD,WD,T00014,end
Trunk_Buiucani_to_CBD,WD,T00015,end
Trunk_Buiucani_to_CBD,WD,T00016,end
Trunk_Buiucani_to_CBD,WD,T00017,end
Trunk_Buiucani_to_CBD,WD,T00018,end
Trunk_Buiucani_to_CBD,WD,T00019,end
Trunk_Buiucani_to_CBD,WD,T00020,end
Trunk_Buiucani_to_CBD,WD,T00021,end
Trunk_Buiucani_to_CBD,WD,T00022,end
Trunk_Buiucani_to_CBD,WD,T00023,end
Trunk_Buiucani_to_CBD,WD,T00024,end
Trunk_Buiucani_to_CBD,WD,T00025,end
Trunk_Buiucani_to_CBD,WD,T00026,end
Trunk_Buiucani_to_CBD,WD,T00027,end
Trunk_Buiucani_to_CBD,WD,T00028,end
Trunk_Buiucani_to_CBD,WD,T00029,end
Trunk_Buiucani_to_CBD,WD,T00030,end
Trunk_Buiucani_to_CBD,WD,T00031,end
Trunk_Buiucani_to_CBD,WD,T00032,end
Trunk_Buiucani_to_CBD,WD,T00033,end
Trunk_Buiucani_to_CBD,WD,T00034,end
Trunk_Buiucani_to_CBD,WD,T00035,end
Trunk_Buiucani_to_CBD,WD,T00036,end
Trunk_Buiucani_to_CBD,WD,T00037,end
Trunk_Buiucani_to_CBD,WD,T00038,end
Trunk_Buiucani_to_CBD,WD,T00039,end
Trunk_Buiucani_to_CBD,WD,T00040,end
Trunk_Buiucani_to_CBD,WD,T00041,end
Trunk_Buiucani_to_CBD,WD,T00042,end
Trunk_Buiucani_to_CBD,WD,T00043,end
Trunk_Buiucani_to_CBD,WD,T00044,end
Trunk_Buiucani_to_CBD,WD,T00045,end
Trunk_Buiucani_to_CBD,WD,T00046,end
Trunk_Buiucani_to_CBD,WD,T00047,end
Trunk_Buiucani_to_CBD,WD,T00048,end
Trunk_Buiucani_to_CBD,WD,T00049,end
Trunk_Buiucani_to_CBD,WD,T00050,end
Trunk_Buiucani_to_CBD,WD,T00051,end
Trunk_Buiucani_to_CBD,WD,T00052,end
Trunk_Buiucani_to_CBD,WD,T00053,end
Trunk_Buiucani_to_CBD,WD,T00054,end
Trunk_Buiucani_to_CBD,WD,T00055,end
Trunk_Buiucani_to_CBD,WD,T00056,end
Trunk_Buiucani_to_CBD,WD,T00057,end
Trunk_Buiucani_to_CBD,WD,T00058,end
Trunk_Buiucani_to_CBD,WD,T00059,end
Trunk_Buiucani_to_CBD,WD,T00060,end
Trunk_Buiucani_to_CBD,WD,T00061,end
Trunk_Buiucani_to_CBD,WD,T00062,end
Trunk_Buiucani_to_CBD,WD,T00063,end
Trunk_Buiucani_to_CBD,WD,T00064,end
Trunk_Buiucani_to_CBD,WD,T00065,end
Trunk_Buiucani_to_CBD,WD,T00066,end
Trunk_Buiucani_to_CBD,WD,T00067,end
Trunk_Buiucani_to_CBD,WD,T00068,end
Trunk_Buiucani_to_CBD,WD,T00069,end
Trunk_Buiucani_to_CBD,WD,T00070,end
Trunk_Buiucani_to_CBD,WD,T00071,end
Trunk_Buiucani_to_CBD,WD,T00072,end
Trunk_Buiucani_to_CBD,WD,T00073,end
Trunk_Buiucani_to_CBD,WD,T00074,end
Trunk_Buiucani_to_CBD,WD,T00075,end
Trunk_Buiucani_to_CBD,WD,T00076,end
Trunk_Buiucani_to_CBD,WD,T00077,end
Trunk_Buiucani_to_CBD,WD,T00078,end
Trunk_Buiucani_to_CBD,WD,T00079,end
Trunk_Buiucani_to_CBD,WD,T00080,end
